Column1,name,ジャンル,その他ジャンル,都道府県,住所,電話番号,最寄り駅,Googleマップ,ウェブサイト,Twitter,Facebook,Instagram,normalized_name,name_count_norm,is_chain
2777.0,カレー屋moritoner,カレー,,福岡県,福岡県福岡市中央区六本松１丁目３−１８,9011689216.0,六本松駅,https://goo.gl/maps/MiMJugStdVYYZPZV7,,,,https://instagram.com/kunihiro_takei/,カレー屋moritoner,2.0,False
2778.0,ざっと,お好み焼き・もんじゃ焼き,,福岡県,福岡県福岡市東区箱崎３丁目８−３４,9013480573.0,箱崎駅,https://goo.gl/maps/7WPsfSfLfUYswoBf6,https://zathakozaki.amebaownd.com,,,,ざっと,2.0,False
2779.0,C'è solo amore チェ ソーロ アモーレ,イタリアン,,福岡県,福岡県福岡市中央区薬院４丁目１８−１５ライオンズマンションマキシム浄水通り1F,9013625715.0,薬院大通駅,https://g.page/ce_solo_amore,,,https://facebook.com/ce.solo.amore/,https://www.instagram.com/ce_solo_amore/,C'è solo amore チェ ソーロ アモーレ,2.0,False
2780.0,ソルリバ,居酒屋・ダイニングバー,,福岡県,福岡県福岡市中央区渡辺通２丁目３−３２三角市場内,9013676031.0,薬院駅,https://g.page/solriva,https://snack-bar-2679.business.site/,,https://facebook.com/kintoun7272/,,ソルリバ,2.0,False
2781.0,M-lab,イタリアン,,福岡県,福岡県うきは市浮羽町朝田１１５−１,9017140607.0,うきは駅,https://goo.gl/maps/rWGc13JA9CaPQb6p6,http://m-lab-ukiha.com/,,https://facebook.com/mlab.ukiha/,https://www.instagram.com/m_lab_ukiha/,M-lab,2.0,False
2782.0,にっこり食堂　釧路,カフェレストラン,,北海道,北海道釧路市春採3丁目17-4,9020543441.0,武佐駅,https://goo.gl/maps/Dvq4zmzsm7kcnBpa7,,,,,にっこり食堂 釧路,2.0,False
2783.0,atacu-cafe あたくカフェ,カフェレストラン,,東京都,東京都千代田区神田神保町1-16-9,9021549516.0,神保町駅,https://goo.gl/maps/fkN4D837nsb7woPM7,https://atacucafe.business.site/,,,https://instagram.com/atacucafe,atacu-cafe あたくカフェ,2.0,False
2784.0,粉門屋仔猫,ベーカリーカフェ,パン・デザート・お惣菜・NAGANO WINE販売,長野県,長野県長野市１２７９−６,9021752020.0,JR長野駅徒歩2分,https://goo.gl/maps/QsHMfEucCUK5Q8k27,https://sakaki.wine/retail/konamonya/,https://twitter.com/konakoneko,https://www.facebook.com/konamonnyakoneko/,https://www.instagram.com/konamonnyakoneko/,粉門屋仔猫,2.0,False
2785.0,ラーメン風林火山,ラーメン・つけ麺,ラーメン,山形県,山形県鶴岡市末広町17-15,9022755328.0,鶴岡,"https://maps.google.com/maps?ll=38.738812,139.838827&z=14&t=m&hl=ja&gl=US&mapclient=embed&q=%E3%80%92997-0015%20%E5%B1%B1%E5%BD%A2%E7%9C%8C%E9%B6%B4%E5%B2%A1%E5%B8%82%E6%9C%AB%E5%BA%83%E7%94%BA%EF%BC%91%EF%BC%97%E2%88%92%EF%BC%91%EF%BC%95",,,,,ラーメン風林火山,2.0,False
2786.0,らーめんダイニング庵,ラーメン・つけ麺,ラーメン,群馬県,群馬県吾妻郡中之条町折田2198-1,9024517822.0,中之条,"https://maps.google.com/maps?ll=36.590931,138.81515&z=12&t=m&hl=ja&gl=US&mapclient=embed&q=%E3%80%92377-0433%20%E7%BE%A4%E9%A6%AC%E7%9C%8C%E5%90%BE%E5%A6%BB%E9%83%A1%E4%B8%AD%E4%B9%8B%E6%9D%A1%E7%94%BA%E5%A4%A7%E5%AD%97%E6%8A%98%E7%94%B0%EF%BC%92%EF%BC%91%EF%BC%99%EF%BC%98%E2%88%92%EF%BC%91",,,,,らーめんダイニング庵,2.0,False
2787.0,麺屋 華一,居酒屋・ダイニングバー,,福岡県,福岡県那珂川市五郎丸1-4-103,9027169725.0,博多南駅,https://goo.gl/maps/ANfmENuCyjNjLJvz8,,,,,麺屋 華一,2.0,False
2788.0,宍道湖ワイン,ワインバー,,島根県,島根県松江市朝日町４９４−３,9028678686.0,松江,https://goo.gl/maps/KG55SD42s9riBt6m9,,,https://www.facebook.com/pages/category/Wine-Spirits/%E5%AE%8D%E9%81%93%E6%B9%96%E3%83%AF%E3%82%A4%E3%83%B3-787916384722730/,,宍道湖ワイン,2.0,False
2789.0,なかもと,寿司,,福岡県,福岡県福岡市博多区上川端町２−１２,9029658829.0,祇園駅,https://goo.gl/maps/pSJeCawziNdLCY6K6,https://nakamoto-hakata.com/,,,https://www.instagram.com/nakamoto.hakata/,なかもと,2.0,False
2790.0,バル・ババ,スペイン料理,,福岡県,福岡県福岡市中央区平尾２丁目１７−２０グランド平尾,9029688688.0,平尾駅,https://goo.gl/maps/NpRryNMwnpC1sN9HA,,https://twitter.com/barbaba1203,https://facebook.com/barbaba8688/,https://instagram.com/barbaba8688/,バル・ババ,2.0,False
2791.0,カフェグラッチェ,カフェレストラン,,茨城県,茨城県取手市駒場3丁目6-14,297867710.0,取手駅,https://goo.gl/maps/qTndPHm5EvgUAdF39,https://cafe-24617.business.site/?utm_source=gmb&utm_medium=referral,,,,カフェグラッチェ,2.0,False
2792.0,花山,焼き鳥,,福岡県,福岡県福岡市東区箱崎１丁目４４,9033203293.0,箱崎宮前駅,https://goo.gl/maps/DBBiTn4Qxosi68uG7,,,,https://instagram.com/hanayama_hanayama/,花山,2.0,False
2793.0,mique,ベジ・ヴィーガン,,東京都,東京都目黒区東が丘2-10-16,9034320960.0,駒沢大学駅,https://goo.gl/maps/dk4RdTZQvwAA1a5TA,http://www.mique-plantbasedfood.com/,,,,mique,2.0,False
2794.0,てるsun,カレー,,福岡県,福岡県福岡市早良区高取１丁目1１−５2F,9034932689.0,西新駅,https://goo.gl/maps/J6kR63Mqz6GtifEX9,,,,https://instagram.com/zukarute.c.0221.b/,てるsun,2.0,False
2795.0,自然派ワインと純米酒 Sauvage ソヴァージュ,ワインバー,,栃木県,栃木県栃木市万町14-2,9034995152.0,栃木駅,https://goo.gl/maps/ARxgjik2DydZq5Pv7,https://sauvage-tochigi.com,,,,自然派ワインと純米酒 Sauvage ソヴァージュ,2.0,False
2796.0,和がし圓左,カフェレストラン,,福岡県,福岡県福岡市中央区白金1-12-241F,9035227533.0,薬院駅,https://g.page/wagashiensa,,https://twitter.com/WAGASHIENSA,https://www.facebook.com/wagashi.ensa/,https://www.instagram.com/musasiza/,和がし圓左,1.0,False
2797.0,ビストロキャトル,フレンチ,,茨城県,茨城県取手市取手2-10-15ナガタニビル1F,297869666.0,取手駅,https://maps.app.goo.gl/AWJZo4t5DfwhrvsC9,,https://twitter.com/BistroQuatre,https://www.facebook.com/bistro.quatre/,https://www.instagram.com/bistro.quatre/,ビストロキャトル,2.0,False
2798.0,nemo×夢kitchen,居酒屋・ダイニングバー,飲食店,兵庫県,兵庫県尼崎市昭和南通3-12-2ハイツサンシャイン102,9037224904.0,阪神尼崎駅,https://maps.app.goo.gl/aNo28eEMayc1PcdS6,https://s.tabelog.com/hyogo/A2803/A280304/28053657/,,https://facebook.com/nemo.yume.kitchen/,https://instagram.com/nemo.yume.kitchen/,nemo×夢kitchen,2.0,False
2799.0,インド食堂 ワナッカム,カレー,,福岡県,福岡県福岡市中央区清川３丁目１９−２,9037995362.0,平尾駅,https://goo.gl/maps/w4u5UuJEDh318wCd8,,,https://facebook.com/vanakkam.southindian/,https://instagram.com/vanakkam_indoshokudo/,インド食堂 ワナッカム,2.0,False
